timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 15:21:52,MEGAsync.exe,TCP,192.168.1.101:53673,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:22:00,Code.exe,TCP,192.168.1.101:56698,104.208.16.89:443,-,ESTABLISHED
2026-03-30 15:22:00,Code.exe,TCP,192.168.1.101:59738,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:22:40,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:22:40,MEGAsync.exe,TCP,192.168.1.101:50213,66.203.125.28:443,-,ESTABLISHED
2026-03-30 15:22:48,Code.exe,TCP,192.168.1.101:58998,104.208.16.89:443,-,ESTABLISHED
2026-03-30 15:22:56,Code.exe,TCP,192.168.1.101:62216,40.79.141.153:443,-,ESTABLISHED
2026-03-30 15:23:04,MEGAsync.exe,TCP,192.168.1.101:55435,185.206.25.61:443,-,SYN_SENT
2026-03-30 15:23:04,MEGAsync.exe,TCP,2804:426c:1b00:2f7c:a45f:39eb:ab82:107a:55434,2a0b:e41:1::61:443,-,SYN_SENT
2026-03-30 15:23:12,MEGAsync.exe,TCP,192.168.1.101:55435,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:23:12,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:23:20,Code.exe,TCP,192.168.1.101:59296,40.79.141.153:443,-,ESTABLISHED
2026-03-30 15:23:28,Code.exe,TCP,192.168.1.101:54778,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:23:36,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:23:36,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:23:52,Code.exe,TCP,192.168.1.101:58728,40.79.141.153:443,-,ESTABLISHED
2026-03-30 15:24:08,Code.exe,TCP,192.168.1.101:56900,140.82.112.21:443,-,ESTABLISHED
2026-03-30 15:26:11,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:53664,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:26:11,MEGAsync.exe,TCP,192.168.1.101:53673,185.206.25.65:443,-,ESTABLISHED
